1, 2, WinRate, Win, Defeat
19, 29,50.68 ,4051, 3943
13, 18,48.92 ,5047, 5270
25, 28,50.6 ,8543, 8341
35, 41,44.01 ,5434, 6913
2, 22,53.4 ,8820, 7697
48, 83,57.34 ,2414, 1796
3, 44,49.53 ,4239, 4320
29, 70,46.44 ,1968, 2270
42, 43,48.68 ,736, 776
10, 74,47.44 ,9208, 10200
44, 72,42.56 ,701, 946
16, 22,49.94 ,4913, 4924
6, 68,56.73 ,4904, 3740
21, 33,48.13 ,2187, 2357
16, 67,47.78 ,5700, 6229
5, 47,55.82 ,5021, 3974
23, 30,46.33 ,4217, 4885
6, 28,58.71 ,9105, 6404
7, 41,45.24 ,11254, 13620
8, 96,51.43 ,6076, 5738
64, 74,51.09 ,13144, 12583
22, 46,48.68 ,1628, 1716
14, 35,49.12 ,8147, 8440
9, 30,52.12 ,8061, 7405
5, 27,52.21 ,1894, 1734
51, 58,47.55 ,883, 974
1, 45,53.93 ,6924, 5915
6, 40,62.31 ,6482, 3920
41, 53,43.43 ,4949, 6446
19, 53,45.36 ,3831, 4614
25, 42,48.97 ,5181, 5400
14, 15,50.48 ,2043, 2004
42, 91,43.89 ,1193, 1525
29, 56,61.68 ,3301, 2051
40, 84,58.18 ,7827, 5627
2, 23,45.16 ,2638, 3204
6, 29,61.89 ,6407, 3946
69, 74,42.74 ,5568, 7461
11, 30,47.51 ,8711, 9625
10, 29,49.62 ,3965, 4025
1, 36,50.23 ,6344, 6287
27, 41,48.64 ,8805, 9297
37, 46,52.15 ,2350, 2156
8, 40,56.48 ,10172, 7839
17, 84,52.45 ,11849, 10744
2, 32,52.03 ,2379, 2193
1, 20,44.4 ,3736, 4678
27, 64,51.87 ,2034, 1887
10, 68,49.31 ,4786, 4920
46, 54,49.15 ,3310, 3424
7, 51,50.38 ,3015, 2969
23, 26,40.54 ,5722, 8392
26, 31,44.99 ,3527, 4313
16, 61,63.41 ,1118, 645
16, 84,54.17 ,7235, 6120
65, 70,39.41 ,629, 967
44, 53,43.2 ,4480, 5891
28, 41,49.18 ,9888, 10219
17, 68,51.83 ,3664, 3405
17, 28,48.83 ,6277, 6578
5, 11,49.65 ,9905, 10046
7, 19,45.53 ,5001, 5982
62, 84,55.45 ,5076, 4079
6, 34,58.65 ,3764, 2654
37, 41,49.37 ,6378, 6542
26, 36,48.74 ,6817, 7170
2, 56,59.63 ,5834, 3949
11, 53,41.52 ,2877, 4053
13, 41,42.1 ,4697, 6460
21, 43,48.65 ,1850, 1953
15, 74,51.62 ,1305, 1223
39, 69,40.34 ,3320, 4910
3, 14,47.82 ,4305, 4697
21, 54,49.34 ,11794, 12108
9, 10,50.53 ,8959, 8770
46, 69,43.52 ,1668, 2165
9, 48,55.42 ,4086, 3287
16, 41,46.73 ,6816, 7769
56, 62,52.47 ,2243, 2032
8, 33,51.31 ,3108, 2949
6, 44,49.91 ,2702, 2712
9, 33,51.31 ,1198, 1137
35, 53,41.56 ,1244, 1749
39, 47,51.95 ,2653, 2454
4, 14,54.68 ,6336, 5251
6, 45,62.21 ,5278, 3206
17, 37,51.78 ,3920, 3651
50, 71,49.06 ,1923, 1997
54, 57,51.69 ,733, 685
16, 37,50.29 ,2543, 2514
54, 65,45.7 ,1149, 1365
2, 67,48.84 ,9162, 9599
3, 25,52.94 ,2508, 2229
19, 67,47.13 ,11374, 12761
13, 20,51.68 ,1889, 1766
12, 31,47.69 ,3010, 3301
11, 21,46.19 ,11611, 13528
6, 39,55.11 ,9007, 7338
8, 41,41.45 ,2315, 3270
69, 105,39.17 ,1449, 2250
10, 27,48.41 ,5281, 5628
16, 18,51.45 ,5833, 5505
23, 29,44.66 ,1406, 1742
16, 26,44.9 ,6376, 7823
13, 35,45.86 ,948, 1119
6, 53,53.76 ,4444, 3823
16, 35,45.02 ,1892, 2311
21, 36,52.58 ,6489, 5853
13, 62,48.15 ,1459, 1571
31, 42,48.05 ,4045, 4374
5, 67,51.89 ,12057, 11178
13, 23,40.46 ,1097, 1614
39, 44,44.94 ,11888, 14565
13, 27,46.54 ,2510, 2883
36, 39,50.1 ,3374, 3361
13, 93,44.14 ,3568, 4516
2, 13,45.47 ,2711, 3251
8, 83,55.53 ,9824, 7866
20, 67,47.97 ,3329, 3611
3, 26,42.64 ,1089, 1465
41, 75,46.92 ,6851, 7750
38, 40,55.14 ,815, 663
5, 31,50.96 ,1886, 1815
8, 47,57.35 ,8614, 6405
27, 28,50.05 ,5303, 5292
7, 16,46.67 ,3066, 3503
18, 35,47.22 ,4465, 4991
7, 34,46.13 ,3183, 3717
18, 34,49.26 ,3853, 3968
12, 28,45.98 ,2369, 2783
34, 35,43.63 ,644, 832
29, 52,52.2 ,901, 825
4, 93,54.54 ,3415, 2846
60, 93,47.36 ,3916, 4352
12, 106,43.45 ,1966, 2559
